name,checked_synonym,accepted_name,author
Acridocarpus socotranus Schlechter,Acridocarpus socotranus,Acridocarpus socotranus,Oliv.
Acrocomia aculeata,Acrocomia aculeata,Acrocomia aculeata,(Jacq.) Sweet
Acronychia oblongifolia (A. Cunn. ex Hook. )    Endl. ex Heynh.,Acronychia oblongifolia,Acronychia oblongifolia,(A.Cunn. ex Hook.) Endl. ex Heynh.
Acrotriche depressa R.Br.,Acrotriche depressa,Acrotriche depressa,R.Br.
g Acrotriche fasciculiflora (Re) b. Benth.,Acrotriche fasciculiflora,Acrotriche fasciculiflora,(Regel) Benth.
Actinostachys,Actinostachys,Schizaea,Sm.
Actinostrobus arengrius C.A. Gardn.,Actinostrobus arenarius,Callitris arenaria,(C.A.Gardner) J.E.Piggin & J.J.Bruhl
Actinotus leucocephalus Benth.,Actinotus leucocephalus,Actinotus leucocephalus,Benth.
Adansonia gregorii F. Muell.,Adansonia gregorii,Adansonia gregorii,F.Muell.
Adenandra uniflora Willd.,Adenandra uniflora,Adenandra uniflora,(L.) Willd.
Adenia lobata Engl.,Adenia lobata,Adenia lobata,(Jacq.) Engl.
Adenium multiflorum (Klotzsch) L.E. Codd,Adenium multiflorum,Adenium multiflorum,Klotzsch
Adenocarpus complicatus Gay,Adenocarpus complicatus,Adenocarpus complicatus,(L.) J.Gay
Adesmia augustii Macbr.,Adesmia augusti,Adesmia augusti,J.F.Macbr.
Adhatoda duvernoia,Adhatoda duvernoia,Justicia adhatodoides,(E.Mey. ex Nees) V.A.W.Graham
Adhatoda vasica Nees,Adhatoda vasica,Justicia adhatoda,L.
Adinandra formosana Hayata var. formosana,Adinandra formosana var. formosana,Adinandra formosana var. formosana,
Adoxa moschatellina,Adoxa moschatellina,Adoxa moschatellina,L.
Adromischus alveolatus Hutch.,Adromischus alveolatus,Adromischus marianiae var. immaculatus,Uitewaal
Adromischus clavifolius (Haw. ) Lem.,Adromischus clavifolius,Adromischus cristatus var. clavifolius,(Haw.) Toelken
"Adromischus ernianus Hutch, sp. nov.",Adromischus nanus,Adromischus nanus,(N.E.Br.) Poelln.
Adromischus festivus C.A. Sm.,Adromischus festivus,Adromischus cooperi,(Baker) A.Berger
Adromischus jasminiflorus (Salm- - -Dyck) Lem.,Adromischus jasminiflorus,Adromischus caryophyllaceus,(Burm.f.) Lem.
Adromischus libanoticus Hort.,Adromischus,Adromischus,Lem.
Adromischus marlothii (Schoenl) Berg.,Adromischus marlothii,Adromischus filicaulis subsp. marlothii,(Schönland) Toelken
Adromischus pulchellus Hutchis.,Adromischus pulchellus,Adromischus alstonii,(Schönland & Baker f.) C.A.Sm.
Adromischus rhynsdorpensis Hutch.,Adromischus,Adromischus,Lem.
Adromischus rodinii Hutch.,Adromischus rodinii,Adromischus marianiae var. kubusensis,(Uitewaal) Toelken
"Adromischus suther landensis Hutch.,sp. nov.",Adromischus,Adromischus,Lem.
Aechmea calyculata Bak.,Aechmea calyculata,Aechmea calyculata,(É.Morren) Baker
Aechmaea fosteriana,Aechmaea,Aechmea,Ruiz & Pav.
Aegilops biumcialis Vis.,Aegilops biuncialis,Aegilops biuncialis,Vis.
Aegilops caudata L.,Aegilops caudata,Aegilops caudata,L.
Aegilops comosa Sibth. & Sm.,Aegilops comosa,Aegilops comosa,Sm.
Aegilops crassa Boiss.,Aegilops crassa,Aegilops crassa,Boiss. ex Hohen.
Aegilops ovata L.,Aegilops ovata,Aegilops neglecta,Req. ex Bertol.
Aegilops squarrosa L.,Aegilops squarrosa,Aegilops triuncialis,L.
Aegilops triaristata Willd.,Aegilops triaristata,Aegilops neglecta,Req. ex Bertol.
Aegilops uniaristata Vis.,,,
Aegilops variabilis Eig,Aegilops variabilis,Aegilops peregrina,(Hack.) Maire & Weiller
Aegle marmelos,Aegle marmelos,Aegle marmelos,(L.) Corrêa
Aeibuyn cabaruebse (L.) Webb & Berth.,Ambuya,Aristolochia,L.
Aeonium arboreum W.S.B. var. variegatum Hort.,Aeonium,Aeonium,Webb & Berthel.
Aeonium spathulatum (Horn. ) Praeg. var. cruentum Praeg.,Aeonium spathulatum var. cruentum,Aeonium spathulatum,(Hornem.) Praeger
Aeonium tabulaeforma (Haw. ) W.B.,Aeonium tabulaeforme,Aeonium tabulaeforme,(Haw.) Webb & Berthel.
