name,checked_synonym,accepted_name,author
Iris bohemica F. W. Schmidt,Iris bohemica,Iris aphylla,L.
Iris bucharica For    Foster,Iris bucharica,Iris bucharica,Foster
Iris buchasica,Iris bucharica,Iris bucharica,Foster
Iris cavarnae Prodan,Iris samariae,Iris lortetii var. samariae,(Dinsm.) Feinbrun
IRIS cengialti Ambrosi,Iris,Iris,Tourn. ex L.
Iris olbiensis chamaeiris Bertol var. sannicandro,Iris,Iris,Tourn. ex L.
Iris croatica Horvat,Iris erratica,Iris halophila var. halophila,
Iris cypriana Bak. &c. Fos.,Iris caurina,Iris versicolor,L.
Iris drepanophylla,Iris drepanophylla,Iris drepanophylla,Aitch. & Baker
Iris Douglasiana Herb.,Iris,Iris,Tourn. ex L.
Iris (douglasiana Herb.?),Iris,Iris,Tourn. ex L.
Iris gatesii Foster,Iris gatesii,Iris gatesii,Foster
Iris iberica Hoffm.  Hoffm.,Iris iberica,Iris iberica,Steven
Iris imbricata Lindl.,Iris imbricata,Iris imbricata,Lindl.
Iris italica Parl. dead,Iris italica,Iris lutescens,Lam.
Iris japonica Thunb. var. ledgeri,Iris,Iris,Tourn. ex L.
Iris kamayama Makino,Iris kamayama,Iris sanguinea var. violacea,Makino
Iris Kashmiriana Baker,Iris,Iris,Tourn. ex L.
Iris kashmiriana Baker,Iris kashmiriana,Iris kashmiriana,Baker
Iris kopetdaghensis (Vved.) ) Mathew & Wendelbo,Iris kopetdagensis,Iris kopetdagensis,Vved.
macrosiphon Torr. Iris aff. douglasiana,Iris,Iris,Tourn. ex L.
Iris mesopotamica Dykes,Iris mesopotamica,Iris sicula,Tod.
Iris musulmanica,Iris musulmanica,Iris spuria subsp. musulmanica,(Fomin) Takht.
Iris notha,Iris notha,Iris notha,M.Bieb.
Iris paradoxa Stev.var. choschab ?,Iris paradoxa var. choschab,Iris paradoxa f. choschab,(Hoog) B.Mathew & Wendelbo
Iris perrieri Simonet (ined.),Iris perrieri,Iris perrieri,Simonet ex N.Service
Iris polonicum,Iris,Iris,Tourn. ex L.
Iris pseudopumila Tineo.,Iris pseudopumila,Iris pseudopumila,Tineo
Iris ruthenica Ker-Gawl.,Iris ruthenica,Iris ruthenica,Ker Gawl.
Iris sambucina Linn.,Iris × sambucina,Iris × germanica,L.
Iris scariosa:    (= aphylla L. ),Iris scariosa,Iris scariosa,Willd. ex Link
SSPBORZAE Iris suaveolens Boiss. & Reut.,Iris suaveolens,Iris relicta,Colas.
Iris subbiflora Brotok,Iris subbiflora,Iris lutescens,Lam.
Iris sulfurea C. Koch,Iris sulphurea,Iris imbricata,Lindl.
Iris tenuis Wats. VOID,Iris tenuis,Iris tenuis,S.Watson
Iris tianschanica (Maxim.) Vved.,Iris thianschanica,Iris loczyi,Kanitz
Iris varbossania K. Maly.,Iris × varbossania,Iris × germanica,L.
Iris Admiral Nimitz,Iris,Iris,Tourn. ex L.
"Iris ""Aldura""",Iris,Iris,Tourn. ex L.
"Iris ""Amandine If",Iris,Iris,Tourn. ex L.
"Iris ""Ambush""",Iris,Iris,Tourn. ex L.
"Iris ""Arab Chief""",Iris,Iris,Tourn. ex L.
"Iris ""Bang""",Iris,Iris,Tourn. ex L.
"Yellow Mohr Bym If Iris ""Big",Selloa,Gymnosperma,Less.
"Iris ""Blue Sapphire""",Iris,Iris,Tourn. ex L.
"Iris ""Brigadoon""",Iris,Iris,Tourn. ex L.
"Iris ""Burgundy Splash""",Iris,Iris,Tourn. ex L.
"Iris ""Caesar's Brother",Iris,Iris,Tourn. ex L.
Iris California Blue (Oriflamme X Conquistador),Iris,Iris,Tourn. ex L.
"Iris ""Celestial Blue""",Iris,Iris,Tourn. ex L.
"Iris ""Char Maize""",Iris,Iris,Tourn. ex L.
"Iris ""Congo""",Iris,Iris,Tourn. ex L.
Iris 'Cream Ballet',Iris,Iris,Tourn. ex L.
"Iris ""Crimpled Ribbon""",Iris,Iris,Tourn. ex L.
Iris Oarjeeling X I. wattii Bak. ex Hook. f.,Iris,Iris,Tourn. ex L.
"Iris ""Dark Chocolate""",Iris,Iris,Tourn. ex L.
"Iris ""Dotted Swiss""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Flamingo Pink""",Iris,Iris,Tourn. ex L.
"Iris ""Flamingo Pink""",Iris,Iris,Tourn. ex L.
Iris 'Fluted Haven',Iris,Iris,Tourn. ex L.
"Iris ""Foxfire""",Iris,Iris,Tourn. ex L.
"Iris ""Frances Craig""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Garden Magic""",Iris,Iris,Tourn. ex L.
"Iris ""Gay Adventure""",Iris,Iris,Tourn. ex L.
"Iris ""Gay Orchid' 11",Iris,Iris,Tourn. ex L.
"Iris ""Gay Princess""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Gay Senorita""",Iris,Iris,Tourn. ex L.
"Iris ""Georgia""",Iris georgica,Iris iberica,Steven
"Iris Hybrid ""Gold Brocade """,Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Gold Dust""",Iris,Iris,Tourn. ex L.
"Iris ""Gold Soverei gn"" """,Doyerea,Doyerea,Grosourdy
"Iris Hybrid ""Golden Majesty""",Iris,Iris,Tourn. ex L.
"Iris ""Golden Ruffles""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Grace Mohr""",Iris,Iris,Tourn. ex L.
"Iris Hybrid_""Grand Canyon""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Great Lakes""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Grecian Robe""",Iris,Iris,Tourn. ex L.
"Iris ""Grecian Urn""",Iris,Iris,Tourn. ex L.
"Iris ""Happy Days""",Iris,Iris,Tourn. ex L.
"Iris ""Headlands""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Helen McGregor""",Iris,Iris,Tourn. ex L.
"Iris Hybrid- ""High Command""",Iris,Iris,Tourn. ex L.
"Iris ""High Tor""",Iris,Iris,Tourn. ex L.
Iris 'Indiglow',Iris,Iris,Tourn. ex L.
"Iris ""Joseph's Mantle""",Iris,Iris,Tourn. ex L.
"Iris ""Jungle Bird""",Iris,Iris,Tourn. ex L.
"Iris ""Lady Boscawen""",Iris,Iris,Tourn. ex L.
"Iris ""Lake George""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Lady Mohr!",Iris,Iris,Tourn. ex L.
"Iris ""Gold Sovereign""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Grand Canyon""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Lady Mohrt",Iris,Iris,Tourn. ex L.
"Iris ""Laranesque""",Iris,Iris,Tourn. ex L.
Iris 'Lavender Flounce',Iris,Iris,Tourn. ex L.
Iris 'Licorice Stick,Iris,Iris,Tourn. ex L.
"Iris ""Limelight""",Iris,Iris,Tourn. ex L.
"Iris ""Linabath""",Iris,Iris,Tourn. ex L.
"Iris ""Long Shadows""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Lucerne""",Iris,Iris,Tourn. ex L.
"Iris ""Lynn Langford""",Iris,Iris,Tourn. ex L.
"Iris ""Mmm. Cherie""",Iris,Iris,Tourn. ex L.
"Iris ""May Time""",Iris,Iris,Tourn. ex L.
"Iris ""Melissa""",Iris,Iris,Tourn. ex L.
"Iris ""Melodrama""",Iris,Iris,Tourn. ex L.
"Iris ""Memphis Lass""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Minnie Colquitt""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Miss California""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Missouri""",Iris,Iris,Tourn. ex L.
"Iris ""Mohr Lace""",Iris,Iris,Tourn. ex L.
"Iris ""Mohr Majestic""",Iris,Iris,Tourn. ex L.
Iris 'Monterey',Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Mt. Washington""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Mulberry Rose""",Iris,Iris,Tourn. ex L.
"Iris ""Mystic Melody""",Iris,Iris,Tourn. ex L.
"Iris ""Neon""",Iris,Iris,Tourn. ex L.
"Iris ""Olakala""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Orange Flame""",Iris,Iris,Tourn. ex L.
"Iris ""Orchid Flame""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Orchid Lady""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Oriental Splendor""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Ormohr",Iris,Iris,Tourn. ex L.
"Iris ""Owyhee""",Iris,Iris,Tourn. ex L.
"Iris ""Palamino""",Iris,Iris,Tourn. ex L.
"Iris ""Patience""",Iris,Iris,Tourn. ex L.
"Iris ""Phoebus Apollo""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Pierre Menard""",Iris,Iris,Tourn. ex L.
"Iris ""Pink Forma""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Pinnacle New Zealand""",Iris,Iris,Tourn. ex L.
Iris 'Polka Time',Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Prairie Sunset""",Iris,Iris,Tourn. ex L.
"Iris ""President Pilkington""",Iris,Iris,Tourn. ex L.
"Iris ""Pretender""",Iris,Iris,Tourn. ex L.
"Iris ""Purissima""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Radiant Knight""",Iris,Iris,Tourn. ex L.
"Iris ""Raspberry Ice Cream""",Iris,Iris,Tourn. ex L.
"Iris ""Red Valor""",Iris,Iris,Tourn. ex L.
"Iris ""Reobeth""",Iris,Iris,Tourn. ex L.
"Iris ""Rich Rainment""",Iris,Iris,Tourn. ex L.
"Iris ""Rio Arriba""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Rocket""",Iris,Iris,Tourn. ex L.
Iris 'Rocket Rust',Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Rose Pearl""",Iris,Iris,Tourn. ex L.
"Iris ""Ruffled Organdy""",Iris,Iris,Tourn. ex L.
"Iris ""Russet Wings""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Sable""",Iris,Iris,Tourn. ex L.
"Iris ""Sable Night""",Iris,Iris,Tourn. ex L.
"Iris ""Savage""",Iris,Iris,Tourn. ex L.
Iris 'Sierra Skies',Iris,Iris,Tourn. ex L.
"Iris ""Sirmmit""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Snow Flurry""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Snowqualmie""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Solid Mahagony""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Spindrift""",Iris,Iris,Tourn. ex L.
"Iris ""Spring Cloud""",Iris,Iris,Tourn. ex L.
"Iris Hybnid ""Spring Cloud""",Iris,Iris,Tourn. ex L.
"Iris ""Spring Sonnet""",Iris,Iris,Tourn. ex L.
"Iris ""Star Fire""",Iris,Iris,Tourn. ex L.
"Iris ""Star Shine""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Sultan's Robe""",Iris,Iris,Tourn. ex L.
"Iris ""Sunol""",Iris,Iris,Tourn. ex L.
"Iris ""Surrender""",Iris,Iris,Tourn. ex L.
"Iris ""Swan Ballet""",Iris,Iris,Tourn. ex L.
"Iris ""Symphony""",Iris,Iris,Tourn. ex L.
"Iris ""Top Flight""",Iris,Iris,Tourn. ex L.
"Iris ""Trim""",Iris,Iris,Tourn. ex L.
"Iris ""Truly Yours""",Iris,Iris,Tourn. ex L.
"Iris ""Venegeance""",Iris,Iris,Tourn. ex L.
"Iris ""Violet Harmony""",Iris,Iris,Tourn. ex L.
"Tris""Viveza""",,,
"Iris Hybrid ""V.Red Douglass""",Iris,Iris,Tourn. ex L.
"Iris ""Watermelon""",Iris,Iris,Tourn. ex L.
"Iris Hybrid ""White Orange Beard""",Iris,Iris,Tourn. ex L.
"Iris ""Wide Awake""",Iris,Iris,Tourn. ex L.
"Iris ""Wide World""",Iris,Iris,Tourn. ex L.
Iris 'Wild Ginger',Iris,Iris,Tourn. ex L.
"Iris Hybrid ""Wm.E.Setchell'",Iris,Iris,Tourn. ex L.
Iris spuria 'ANACAPA ',Iris,Iris,Tourn. ex L.
Iris spuria 'DUTCH DEFIANCE',Iris,Iris,Tourn. ex L.
Iris spuria 'FAIRY LANTERN',Iris,Iris,Tourn. ex L.
Iris spuria 'FIRST VOYAGE',Iris,Iris,Tourn. ex L.
Iris spuria 'GOLDEN LADY',Iris,Iris,Tourn. ex L.
Iris spuria 'LYDIA JANE',Iris,Iris,Tourn. ex L.
Iris spuria 'MORNINGTIDE',Iris,Iris,Tourn. ex L.
Iris spuria 'STABILITY',Iris,Iris,Tourn. ex L.
Iris spuria 'WADI ZEM ZEM',Iris,Iris,Tourn. ex L.
Iris spuria 'WHITE HERON',Iris,Iris,Tourn. ex L.
Iris wattii Bak. ex Hook. f. CV. 'Maurice Boussard',Iris,Iris,Tourn. ex L.
Iris 'Edith Cleaves' X I. wattii Bak. ex Hook. f.,Iris,Iris,Tourn. ex L.
Irvingia gabonensis (Aubry-Lecomte ex O'Rourke) Baill.,Irvingia gabonensis,Irvingia gabonensis,(Aubry-Lecomte ex O'Rorke) Baill.
ISLAYA bicolor Akers & Buining,Islaya,Eriosyce,Phil.
Islaya bicolor Akers & Buining,Islaya bicolor,Eriosyce islayensis subsp. islayensis,
Neoporteria Islaya copiapoides Rauh & Backeb. H,Islaya copiapoides,Eriosyce islayensis subsp. islayensis,
[Neoporteria Islaya grandiflorens Rauh & Back.,Islaya grandiflorens,Eriosyce islayensis subsp. islayensis,
"Islaya krainziana Ritter, nom.nud.",Islaya krainziana,Eriosyce islayensis subsp. islayensis,
Isochilus major var. amparoanus (Schltr.) Correll,Isochilus major var. amparoanus,Isochilus amparoanus,Schltr.
Isomeris arborea Nutt. var. angustata Parish,Isomeris arborea var. angustata,Cleomella arborea var. angustata,(Parish) J.C.Hall & Roalson
Isopongon divergens R. .Br.,Isopogon divergens,Isopogon divergens,R.Br.
Isopogon sphaerocephalus Lindl.,Isopogon sphaerocephalus,Isopogon sphaerocephalus,Lindl.
Isopogon teretisolius R.Br.,Isopogon teretifolius,Isopogon teretifolius,R.Br.
Isotoma heterophylla,Isotoma,Isotoma,(R.Br.) Lindl.
Ixiolirion ledebouri Fisch.,Ixiolirion ledebourii,Ixiolirion tataricum,(Pall.) Schult. & Schult.f.
Ixiolirion tataricum (Pallas) Herb.,Ixiolirion tataricum,Ixiolirion tataricum,(Pall.) Schult. & Schult.f.
Jacaranda acutifolia (or ovalifolia) Humb & Bonpl.,Jacaranda acutifolia,Jacaranda acutifolia,Bonpl.
Jacaratia dolichaula,Jacaratia dolichaula,Jacaratia dolichaula,(Donn.Sm.) Woodson
Jacksonia sericea,Jacksonia sericea,Jacksonia sericea,Benth.
Jacobinia pauciflora,Jacobinia pauciflora,Justicia floribunda,(J.Veitch f.) Wassh.
Jacobsenia kolbei (L.Bol.) L. Bo1. . &Swant.,Jacobsenia kolbei,Jacobsenia kolbei,(L.Bolus) L.Bolus & Schwantes
Jacquemontia unilateralis (Roem. & Schult. ) O'Donel1,Jacquemontia unilateralis,Jacquemontia unilateralis,(Roem. & Schult.) O'Donell
Jacquinia seleriana Urb. ex Loes.,Jacquinia seleriana,Bonellia seleriana,(Urb. & Loes. ex Mez) B.Ståhl & Källersjö
Jasminum beesianum Forr.& Diels,Jasminum beesianum,Jasminum beesianum,Forrest & Diels
Jasminum dichotomm Vahl,Jasminum dichotomum,Jasminum nepalense,Spreng.
Jasminum didymum Forst. f.,Jasminum didymum,Jasminum didymum,G.Forst.
Jasminum noumeênse Schltr.,Jasminum nobile,Jasminum nobile,C.B.Clarke
Jasminum nudiflorum Lindl.,Jasminum nudiflorum,Jasminum nudiflorum,Lindl.
Jasminum polyan thum Franch.,Jasminum,Jasminum,L.
Jasminum rotundifolium Balf. f.,Jasminum rotundifolium,Jasminum fluminense subsp. socotranum,P.S.Green
Jasminum volubile Jacq.,Jasminum volubile,Jasminum simplicifolium subsp. australiense,P.S.Green
Jatropha berlandieri Torrey,Jatropha berlandieri,Jatropha cathartica,Terán & Berland.
Jatropha ? lobata Muell.,Jatropha,Jatropha,L.
Jatropha unicostata Balf. f.,Jatropha unicostata,Jatropha unicostata,Balf.f.
Johnsonia pubescens Lind1.,Johnsonia pubescens,Johnsonia pubescens,Lindl.
Johnsonia,Johnsonia,Callicarpa,L.
Joinvillea gaudichaudiana Brongniart & Gris.,Joinvillea gaudichaudiana,Joinvillea ascendens,Gaudich. ex Brongn. & Gris
Jovibaba heuffelii (Schott) A.&D. Love,Jovibarba heuffelii,Sempervivum heuffelii,Schott
Juglans cathayensis Dode,Juglans cathayensis,Juglans mandshurica var. mandshurica,
Juglans cinerea L.,Juglans cinerea,Juglans cinerea,L.
Juniperus procera Hochst.,Juniperus procera,Juniperus procera,Hochst. ex Endl.
Jussiaea repens L. var. peploides (HKB)Griseb.,Jussiaea repens var. peploides,Ludwigia peploides,(Kunth) P.H.Raven
Juttadinteria deserticola,Juttadinteria deserticola,Juttadinteria deserticola,(Marloth) Schwantes
Kaempferia angustifolia Roscoe,Kaempferia angustifolia,Kaempferia angustifolia,Roscoe
Kalanchoe thyroiflora Harv+,Kalanchoe thyrsiflora,Kalanchoe thyrsiflora,Harv.
Kalanchoe aromatica Perr.,Kalanchoe aromatica,Kalanchoe aromatica,H.Perrier
Kalanchoe Ef. aromatica Perr.,Kalanchoe,Kalanchoe,Adans.
Kalanchoe bracteata Scott-Ellict,Kalanchoe bracteata,Kalanchoe bracteata,Scott Elliot
Kalanchoe densiflora Rolfe,Kalanchoe densiflora,Kalanchoe densiflora,Rolfe
Kalanchoe fedtschenkoi Hamet & Perrier de la Bathie,Kalanchoe fedtschenkoi,Kalanchoe fedtschenkoi,Raym.-Hamet & H.Perrier
Kalanchoe gastonia-bonnieri Hamet & Perrier de la Bathie,Kalanchoe gastonis-bonnieri,Kalanchoe gastonis-bonnieri,Raym.-Hamet & H.Perrier
Kalanchoe grandiflora Wight & Arn.,Kalanchoe grandiflora,Kalanchoe marmorata,Baker
Kalanchoe lanceolata (Forsk) Persoon,Kalanchoe lanceolata,Kalanchoe lanceolata,(Forssk.) Pers.
Kalanchoe longiflora Schlecht. var. coccinea Marn.,Kalanchoe,Kalanchoe,Adans.
Kalanchoe macrantha Bak.,Kalanchoe macrantha,Kalanchoe marmorata,Baker
Kalanchoe miniata Hilsenb. & Boj. var. sicaformis Mann. & Boit.,Kalanchoe miniata var. sicaformis,Kalanchoe miniata var. miniata,
Kalanchoe orgyalis var. nov. (Bak.) Rauh,Kalanchoe,Kalanchoe,Adans.
Kalanchoe pinnata (Lam.) Persoon,Kalanchoe pinnata,Kalanchoe pinnata,(Lam.) Pers.
Kalanchoe pubescens Baker,Kalanchoe pubescens,Kalanchoe pubescens,Baker
Kalanchoe robusta Balf.,Kalanchoe robusta,Kalanchoe robusta,Balf.f.
Kalanchoe rosei Hamet & P. de la Bathie,Kalanchoe rosei,Kalanchoe rosei,Raym.-Hamet & H.Perrier
Kalanchoe aff. teretifolia Deflers,Kalanchoe,Kalanchoe,Adans.
Kalanchoe thrysiflora Harvey,Kalanchoe thyrsiflora,Kalanchoe thyrsiflora,Harv.
Kalanchoe thyrisiflora Harv.,Kalanchoe thyrsiflora,Kalanchoe thyrsiflora,Harv.
Kalanchoe tubiflora (Harvey) Hamet,Kalanchoe tubiflora,Kalanchoe delagoensis,Eckl. & Zeyh.
Kalanchoe velutina Welw.,Kalanchoe velutina,Kalanchoe velutina,Welw. ex Britten
Kalanchoe Waldheimii Hamet & Perrier de la Bathie,Perriera,Perriera,Courchet
Kalanchoe welwitschii Britten,Kalanchoe welwitschii,Kalanchoe welwitschii,Britten
Kalanchoe zimbabwensis Rendle,Kalanchoe zimbabwensis,Kalanchoe lateritia var. lateritia,
Kalorochea CV. CAPITOLA J.R. Brown,,,
Kearnemalvastrun lacteum (Ait.) Bates,Kearnemalvastrum lacteum,Kearnemalvastrum lacteum,(Aiton) D.M.Bates
Kefersteinia cf. tolimensis Schlechte.,Kefersteinia,Kefersteinia,Rchb.f.
Kennedya exima Lindl.,Kennedia eximia,Kennedia coccinea subsp. coccinea,
Kennedya coccinea Vent.,Kennedia coccinea,Kennedia coccinea,(Curtis) Vent.
Kentia balmoreana F.Muell. dead,Kentia belmoreana,Howea belmoreana,(C.Moore & F.Muell.) Becc.
Keraudrenia integrifolia Steud.,Keraudrenia integrifolia,Seringia integrifolia,(Steud.) F.Muell.
Khaya senegalensis (Desr.)A. Juss.,Khaya senegalensis,Khaya senegalensis,(Desr.) A.Juss.
Kigelia pinnata (Jacq.) DC.,Kigelia pinnata,Kigelia africana subsp. africana,
Kingia australis R. Br.,Kingia australis,Kingia australis,R.Br.
Kleinia aff. hanburyana (Dtr.) Berg.,Kleinia,Combretum,Loefl.
Knautia longifolia (W.K. )Koch,Knautia longifolia,Knautia longifolia,(Waldst. & Kit.) W.D.J.Koch
Kochia arenaria Roth.,Kochia arenaria,Bassia laniflora,(S.G.Gmel.) A.J.Scott
Kokia kauaiensis (Rock) Deg. & Deg.,Kokia kauaiensis,Kokia kauaiensis,(Rock) O.Deg. & Duvel
Kochia scoparia,Kochia scoparia,Bassia scoparia,(L.) Voss
Kokia rockii Lewt. D,Kokia rockii,Kokia drynarioides,(Seem.) Lewton
Krameria parvifolia var. insolita,Krameria,Krameria,Loefl.
Kunzea amolana,Kunzea montana,Kunzea montana,(Diels) Domin
Lachenalia bulbifera,Lachenalia bulbifera,Lachenalia bulbifera,(Cirillo) Engl.
Lachenalia glaucina var. pallida,Lachenalia,Lachenalia,J.Jacq. ex Murray
Lachenalia pendula Ait.,Lachenalia pendula,Lachenalia bulbifera,(Cirillo) Engl.
Lachnopylis floribunda C.A.Smith,Lachnopylis floribunda,Nuxia floribunda,Benth.
Lactuca scariola L.,Lactuca scariola,Lactuca serriola,L.
ur Laelia furfnicaap,Laelia,Bunias,L.
Laelia superbiens Lindl.,Laelia superbiens,Laelia superbiens,Lindl.
Laelia tenebrosa Rchb.f.,Laelia tenebrosa,Cattleya tenebrosa,(Rolfe) A.A.Chadwick
Laelia (Schomburgkia) undulata (Lind.) L.O.Wms.,Laelia,Bunias,L.
Laelia (Schomburgkia) undulata (Lindl.) L.O.Wms.,Laelia,Bunias,L.
Laelia weberbauriana (Kraenzl.) C. Schweinf.,Laelia weberbaueriana,Laelia weberbaueriana,(Kraenzl.) C.Schweinf.
Laeliocattleya hybrid 1635,,,
Laestadia aff. costaricensis J.F. Blake,Laestadia,Laestadia,Kunth ex Less.
Lagenaría siceraria (Molina) Standl.,Lagenaria,Lagenaria,Ser.
Lagerstroemia indicah 'CATAWBA',Lagerstroemia,Lagerstroemia,L.
Lagerstroemia indicali 'CONESTOGA',Lagerstroemia,Lagerstroemia,L.
indica Ly POTOMAC 1 Lagerstroemia,India,Robiquetia,Gaudich.
indica hi POWHATAN Lagerstroemia A,India,Robiquetia,Gaudich.
Lamarckia aurea Moench.,Lamarckia aurea,Lamarckia aurea,(L.) Moench
Lambertia multiflora Lindl.,Lambertia multiflora,Lambertia multiflora,Lindl.
Lampranthus aduncus (Haw.) H.E. Brown,Lampranthus aduncus,Lampranthus aduncus,(Haw.) N.E.Br.
Lampranthus aureus (L.) N.E. Br.,Lampranthus aureus,Lampranthus aureus,(L.) N.E.Br.
Lampranthus Berghiae L. Bol.,Lampranthus,Lampranthus,N.E.Br.
Lampranthus bicolorus (L.) N.E. Br.,Lampranthus bicolor,Lampranthus bicolor,(L.) N.E.Br.
Lampranthus blandus (Haw.) Schw.,Lampranthus blandus,Lampranthus blandus,(Haw.) Schwantes
Lampranthus curvifolius (Haw.) N.E. Br.,Lampranthus curvifolius,Lampranthus aduncus,(Haw.) N.E.Br.
Lampranthus littlewoodii L. Bol.,Lampranthus littlewoodii,Lampranthus esterhuyseniae,L.Bolus
Lampranthus multiradiatus (Jacq.) N.E. Br.,Lampranthus multiradiatus,Lampranthus multiradiatus,(Jacq.) N.E.Br.
Lampranthus reptans (Ait.) N.E. Br.,Lampranthus reptans,Lampranthus reptans,(Aiton) N.E.Br.
Lampranthus roseus (Willd.) Schw.,Lampranthus roseus,Lampranthus multiradiatus,(Jacq.) N.E.Br.
Lampranthus scaber (L.) N.E. Br.,Lampranthus scaber,Lampranthus scaber,(L.) N.E.Br.
Lampranthus serpens L. Bol.,Lampranthus serpens,Lampranthus reptans,(Aiton) N.E.Br.
tenuifolius (L.) N.E. Br.,,,
Lampranthus zeyheri (S.D.) M. E. Br.,Lampranthus zeyheri,Lampranthus zeyheri,(Salm-Dyck) N.E.Br.
Lampranthus 'Crimson Glow',Lampranthus,Lampranthus,N.E.Br.
Lampranthus 'Desert Rose',Lampranthus,Lampranthus,N.E.Br.
Lampranthus 'Pink Betty',Lampranthus,Lampranthus,N.E.Br.
Lampranthus 'Red Cross',Lampranthus,Lampranthus,N.E.Br.
Lampranthus 'Rose Spectrum',Lampranthus,Lampranthus,N.E.Br.
Lampranthus 'Royal Purple',Lampranthus,Lampranthus,N.E.Br.
Lampranthus Snow White',Lampranthus,Lampranthus,N.E.Br.
Lampranthus 'Sun Gold',Lampranthus,Lampranthus,N.E.Br.
Lampranthus 'Yellow',Lampranthus,Lampranthus,N.E.Br.
Langloisia matthewsii (Gray) Greene,Langloisia matthewsii,Loeseliastrum matthewsii,(A.Gray) Timbrook
Lanium avicula Hook.,Lanium avicula,Epidendrum avicula,Lindl.
Lantana Camara L.,Lantana camara,Lantana camara,L.
Lantana hispida HBK.,Lantana hispida,Lantana horrida subsp. horrida,
Lapageria rosea R. & P. V. alba Doene 'PINK DAWN',Lapageria,Lapageria,Ruiz & Pav.
Lapaguria rosea R. & P. 'CAUPOLICAN',Lapageria,Lapageria,Ruiz & Pav.
Lapagaria rosea R. & P. 'NAHUELBUTA',Lapageria,Lapageria,Ruiz & Pav.
Lapagaria rosea R. & P. 'RAYEN',Lapageria,Lapageria,Ruiz & Pav.
Lapagaria rosea R. & P. 'TOQUI',Lapageria,Lapageria,Ruiz & Pav.
Lappula bella (Macbr.) Jtn.,Lappula bella,Hackelia bella,(J.F.Macbr.) I.M.Johnst.
Larrea divaricata Cav.,Larrea divaricata,Larrea divaricata,Cav.
Lasiacis procerrima (Hack.) Hitchc.,Lasiacis procerrima,Lasiacis procerrima,(Hack.) Hitchc. ex Chase
Lasiocorys spiculifolia Balf. f.,Lasiocorys spiculifolia,Leucas spiculifolia,(Balf.f.) Gürke
Lasiosiphon without species det.,Lasiosiphon,Lasiosiphon,Fresen.
Lasthenia Baeria chrysostoma (F. &c M.) Greene,Baeria chrysostoma,Lasthenia californica subsp. californica,
Lasthenia Baeria fremontii (Torr.* Gray) Greene,Baeria fremontii,Lasthenia fremontii,Greene
Lasthenia Greene Bacria macrantha (Gray) Gray,Macria,Selago,L.
Lastrea patens (Sw. )Presl.,Lastrea patens,Thelypteris patens,(Sw.) Small
L'avandula Mill.,Lavandula minor,Lavandula angustifolia subsp. angustifolia,
Lavandula coronopifolia Poir.,Lavandula coronopifolia,Lavandula coronopifolia,Poir.
Lavandula dentata L. var. candicans,Lavandula dentata var. candicans,Lavandula dentata var. candicans,Batt.
Lavandula spica L.,Lavandula spica,Lavandula latifolia,Medik.
Lavandula spica L. var. angustifolia R.& P.,Lavandula spica var. angustifolia,Lavandula angustifolia subsp. angustifolia,
"Lavandula Spica L.V.angustifolia Rouy & Foucaud ""Nana Compacta""",Lavandula,Lavandula,L.
"Lavandula var atropurpurea nana    Spica L.V. atropurpure ""nana""",Lavandula vera,Lavandula angustifolia subsp. pyrenaica,(DC.) Guinea
Lavandula spica L.V. atropurpurea 'nana',Lavandula,Lavandula,L.
Lavandula Spica L. var. fragrans,Lavandula,Lavandula,L.
